Ligne,Nom,Note Oct 22,Note Dec 29,Difference,Evolution,Comments Oct,Comments Dec
1,Urban Flat 01 - Charming 2 bedroom Flat in Montorgueil,7.1,7.1,0,= Stable,41,48
2 A,02 - Pretty 4BDR Flat in Paris,8.4,8.5,+0.1,↑ Improved,14,17
2 B,Urban Flat 02 - 4 Bedrooms Flat in center of Paris,10,10,0,= Stable,1,1
3 A,03 - Urban Formidable in Montorgueil,6.5,6.3,-0.2,↓ Degraded,42,39
3 B,UrbanFlat 03 - 4 Bedroom Apartment in Center of Paris,X,9.0,NEW,★ New Rating,0,1
4 B,Urban Flat 04 - Pretty 2 Bedroom Flat in Montorgueil,6.5,6.3,-0.2,↓ Degraded,12,14
4 A,04 Best Flat Montorgeuil 3,6.0,6.1,+0.1,↑ Improved,47,46
5 B,UrbanFlat 05 - Courtyard Apartment in Central Paris,8.0,8.0,0,= Stable,1,1
5 A,05 - Parisian Design Loft,7.6,7.7,+0.1,↑ Improved,67,64
6,06 - Richer,7.9,7.8,-0.1,↓ Degraded,18,21
7 B,07 Best Flat of Grand Boulevard,6.0,5.8,-0.2,↓ Degraded,46,43
7 A,Urban Flat 07 - Opera Grands Boulevards Flat,5.5,6.0,+0.5,↑ Improved,4,5
8 A,Urban Flat 08 - The Panoramic Flat in Paris,7.1,7.2,+0.1,↑ Improved,43,46
9 B,Urban Flat 09 - Stylish Triplex Champs-Elysees,6.6,6.5,-0.1,↓ Degraded,12,14
11 B,Urban Flat 11 - Studio Wagam Pereire,6.3,5.4,-0.9,↓ Degraded,3,5
11 A,Urban Flat 11 - Studio next to Champs-Elysees,3.6,X,N/A,Removed,5,0
13 B,Urban Flat 13 - Pretty 2 Bedroom Parisian Flat,8.1,7.4,-0.7,↓ Degraded,18,24
13 A,13 Luxury Flat eiffel design 2,7.0,6.9,-0.1,↓ Degraded,22,21
14 B,Urban Flat 14 - Charming 3 BDR Flat in Paris,8.3,7.9,-0.4,↓ Degraded,3,6
14 A,14 Luxury Flat Eiffel Design 1,6.8,6.8,0,= Stable,16,15
15,15 Atelier Montorgueil Super Heros,7.5,X,N/A,Removed/Renamed,65,0
17 A,Urban Flat 17 - Pretty 3 Bedroom Flat in Paris,6.3,6.3,0,= Stable,3,3
17 B,Urban Flat 17 - Pretty 3 BDR Flat in Paris Montorgueil,7.5,7.5,0,= Stable,17,21
18 B,Urban Flat 18 - Charming 2BDR Parisian Home,7.7,7.7,0,= Stable,21,24
19,19 Atelier Montorgueil,7.7,7.9,+0.2,↑ Improved,65,78
21 A,21 Atelier Chaplin Montorgueil,7.0,6.8,-0.2,↓ Degraded,58,61
21 B,Urban Flat 21 - Chaplin Atelier in central Paris,X,6.5,NEW,★ New Rating,0,10
23 A,23 - Charming 3BDR Parisian Apartment in Montorgueil,7.3,7.3,0,= Stable,40,40
24 B,Urban Flat 24 - Charming Home in Paris,7.1,7.3,+0.2,↑ Improved,36,42
24 A,24 - Luxury Home in Paris Montorgueil,6.4,6.2,-0.2,↓ Degraded,24,23
25,25 - Fun Duplex in Montorgueil,6.1,6.4,+0.3,↑ Improved,81,84
31 B,Urban Flat 31 - Lovely Triplex in Paris,5.3,5.3,0,= Stable,3,3
31 A,UrbanFlat 31 - Triplex Loft in Central Paris,9.0,7.4,-1.6,↓ Degraded,2,7
32,32 Atelier Paris Fashion,7.8,7.6,-0.2,↓ Degraded,41,50
33,33 - Flat Av des Champs-Elysees,8.3,8.3,0,= Stable,41,44
34 B,UrbanFlat 34 - Spacious & Bright Paris Home for 11,X,7.0,NEW,★ New Rating,0,4
34 A,Urban Flat 34 - Beautiful 3 Bedroom Paris Louvre,6.5,5.4,-1.1,↓ Degraded,4,5
35 B,35 - Urban Montmartre,7.1,7.2,+0.1,↑ Improved,32,32
35 A,Urban Flat 35 - 2 Bedroom Apartment Grands Boulevards,8.0,8.4,+0.4,↑ Improved,4,11
38,38 Atelier Mona Lisa,5.3,5.5,+0.2,↑ Improved,104,96
40 B,40-Flat Paris Eiffel,7.2,7.5,+0.3,↑ Improved,47,48
41 B,41-Atelier Star Wars,7.4,7.3,-0.1,↓ Degraded,85,87
42 A,42-LUXURY FLAT,6.8,7.1,+0.3,↑ Improved,42,44
42 B,Urban Flat 42 - Game of thrones Apartment,5.5,6.0,+0.5,↑ Improved,2,3
44 A,Urban Flat 44 - Chenier,5.8,5.9,+0.1,↑ Improved,9,9
