Ligne,Nom,Note Oct 23,Note Dec 28,Difference,Evolution,Comments Oct,Comments Dec
1,Urban Flat 01 - Charmant appartement 2 chambres Montorgueil,4.22,4.30,+0.08,↑,9,10
2 A,02 - Joli appartement 4 chambres à Paris,4.33,4.36,+0.03,↑,21,22
2 B,Appartement urbain 02 - Bel appartement 4 chambres,X,3.67,NEW,★,2,3
3 A,03 - Bel appartement urbain Montorgueil,4.33,4.33,0.00,=,48,48
3 B,UrbanFlat 03 - Appartement 4 chambres Paris Centre,X,4.5,NEW,★,1,4
4 A,UrbanFlat 04 - Appartement au centre 2 Chambres,X,X,N/A,-,X,2
4 B,UrbanFlat 04 - Appartement Parisien 2 chambres,X,4.4,NEW,★,2,5
5 B,Urban Flat 05 - Bel appartement à Paris,X,X,N/A,-,1,1
6,Urban Flat 06 - Charmant 2 Bdr à Paris,4.83,4.83,0.00,=,6,6
7 A,Urban Flat 07 - Appartement central 1 chambre,4.40,4.45,+0.05,↑,10,11
7 B,Appartement urbain 07 - Appartement Grands Boulevards,X,X,N/A,-,1,1
8 A,Urban Flat 08 - L'appartement panoramique à Paris,3.88,3.88,0.00,=,8,8
8 B,UrbanFlat 08 - Appartement Magenta Design,X,X,N/A,-,X,1
9 A,Appartement urbain 09 - Triplex design Champs-Élysées,4.0,4.10,+0.10,↑,8,10
9 B,UrbanFlat 09 - Triplex Champs-Élysées,X,X,N/A,-,X,1
11 A,11 - Studio à côté des Champs-Elysées,3.89,4.0,+0.11,↑,9,10
11 B,UrbanFlat 11 - Studio Wagram Pereire,X,X,N/A,-,1,2
13 A,Urban Flat 13 - Bel appartement 2 chambres centre Paris,4.33,4.33,0.00,=,24,24
14 A,14 - Appartement de luxe urbain Tour Eiffel,4.35,4.35,0.00,=,34,34
14 B,Urban Flat 14 - Charmant appartement 3 chambres Paris,4.43,4.43,0.00,=,7,7
15,Appartement urbain 15 - Coco Chanel Montorgueil,4.5,4.30,-0.20,↓,8,10
17 A,Urban Flat 17 - Joli appartement 3 chambres Paris,4.71,4.60,-0.11,↓,7,10
17 B,Urban Flat 17 - Sublime appartement 3 chambres Paris,4.17,4.17,0.00,=,12,12
18 B,Urban Flat 18 - Charmante maison parisienne 2 chambres,X,X,N/A,-,1,1
19,Urban Flat 19 - Charmant appartement Montorgueil,3.71,3.71,0.00,=,7,7
21 A,Urban Flat 21 - Charmant duplex Montorgueil,4.31,4.36,+0.05,↑,13,14
21 B,Appartement urbain 21 - Duplex Montorgueil,3.33,3.33,0.00,=,3,3
23 B,UrbanFlat 23 - Appartement Central Balcon,X,4.8,NEW,★,1,5
24 A,Urban Flat 24 - Caire 2 Chambres,X,X,N/A,-,X,X
25,Urban Flat 25 - Studio Duplex Marvel Paris centre,4.0,4.0,0.00,=,4,6
31 B,Urban Flat 31 - Triplex au centre de Paris,4.10,4.0,-0.10,↓,10,12
33,Urban Flat 33 - Charmant appartement Champs-Élysées,4.4,4.35,-0.05,↓,48,52
34 A,Appartement urbain 34 - Magnifique 3 chambres Paris Louvre,3.94,3.94,0.00,=,17,17
34 B,Urban Flat 34 - Superbe 3 chambres Paris Louvre,4.6,4.6,0.00,=,5,5
35 A,35 - Joli appartement urbain Grands Boulevards,4.0,4.0,0.00,=,68,68
35 B,UrbanFlat 35 - Grands Boulevards,4.0,4.0,0.00,=,3,3
40 A,Urban Flat 40 - Charmant Apartment centre Paris,X,X,N/A,-,X,2
40 B,UrbanFlat 40 - Appartement 2 chambres centre Paris,4.0,3.86,-0.14,↓,5,7
41 A,UrbanFlat 41 - Disneyland in Paris - Montorgueil,4.31,4.31,0.00,=,16,16
42,Urban Flat 42 - Game of Thrones Paris,X,4.5,NEW,★,2,4
42 B,Urban Flat 42 - Appartement Game of Thrones Paris,3.40,3.40,0.00,=,5,5
44 A,Urban Flat 44 - Charmant appartement parisien,4.60,4.67,+0.07,↑,5,6
44 B,UrbanFlat 44 - Appartement au centre de Paris,X,X,N/A,-,1,1
52 A,Urban Flat 52 - Appartement 2 chambres central,X,X,N/A,-,2,2
55 A,UrbanFlat 55 - Atelier Triplex Marylin Monroe,X,4.0,NEW,★,2,3
55 B,UrbanFlat 55 - Appartement Marylin Monroe centre,X,2.75,NEW,★,X,4
57 A,Urban Flat 57 - Appartement parisien luxe 4 chambres,4.67,4.67,0.00,=,12,12
60 A,Urban Flat 60 - Sublime 3bdr Parisian Flat,X,5.0,NEW,★,1,3
60 B,Urban Flat 60 - Sublime appartement parisien Paris,X,X,N/A,-,1,1
61 A,Urban Flat 61 - Appartement parisien luxe 3 chambres,4.37,4.37,0.00,=,19,19
62 A,Appartement urbain 62 - Charmant 3 chambres Triangle d'Or,4.33,4.33,0.00,=,6,6
62 B,Urban Flat 62 - Bel appartement Triangle d'Or,4.5,4.5,0.00,=,6,6
63 A,Urban Flat 63 - Bel appartement 3 chambres Champs-Elysées,4.22,4.36,+0.14,↑,9,11
63 B,Appartement urbain 63 - Bel Mermoz,X,X,N/A,-,1,2
64 A,64 - Appartement de luxe urbain Champs-Élysées,4.27,4.27,0.00,=,33,33
64 B,Urban Flat 64 - Appartement sublime Champs-Elysées,4.25,4.22,-0.03,↓,8,9
66 A,Urban Flat 66 - Joli 3 chambres Paris,X,X,N/A,-,1,1
66 B,66 - Atelier Paris Fidélité,X,4.67,NEW,★,X,3
