Ligne,Nom,Note Dec 22,Note Dec 28,Difference,Evolution,Comments Dec 22,Comments Dec 28
1,Urban Flat 01 - Charmant appartement de 2 chambres,4.22,4.30,+0.08,↑ Improved,9,10
2 A,02 - Joli appartement 4 chambres à Paris,4.36,4.36,0,= Stable,22,22
2 B,Appartement urbain 02 - Bel appartement de 4 chambres,3.67,3.67,0,= Stable,3,3
3 A,03 - Bel appartement urbain Montorgueil,4.33,4.33,0,= Stable,48,48
3 B,UrbanFlat 03 - Appartement 4 chambres Paris Centre,4.5,4.5,0,= Stable,4,4
4 A,UrbanFlat 04 - Appartement au centre 2 Chambres,X,X,N/A,No data,2,2
4 B,UrbanFlat 04 - Appartement Parisien de 2 chambres,4.25,4.4,+0.15,↑ Improved,4,5
5 B,Urban Flat 05 - Bel appartement à Paris,X,X,N/A,No data,1,1
6,Urban Flat 06 - Charmant 2 Bdr à Paris,4.83,4.83,0,= Stable,6,6
7 B,Appartement urbain 07 - Appartement Grands Boulevards,X,X,N/A,No data,1,1
7 A,Urban Flat 07 - Appartement central 1 chambre,4.45,4.45,0,= Stable,11,11
8 A,Urban Flat 08 - L'appartement panoramique à Paris,3.88,3.88,0,= Stable,8,8
8 B,UrbanFlat 08 - Appartement Magenta Design,X,X,N/A,No data,1,1
9 A,Appartement urbain 09 - Triplex design Champs-Elysees,4.11,4.10,-0.01,↓ Degraded,9,10
9 B,UrbanFlat 09 - Triplex Champs-Elysees,X,X,N/A,No data,1,1
11 A,11 - Studio à côté des Champs-Elysees,3.89,4.0,+0.11,↑ Improved,9,10
11 B,UrbanFlat 11 - Studio Wagram Pereire,X,X,N/A,= New comment,1,2
13 A,Urban Flat 13 - Bel appartement 2 chambres,4.33,4.33,0,= Stable,24,24
14 B,Urban Flat 14 - Charmant appartement 3 chambres,4.43,4.43,0,= Stable,7,7
14 A,14 - Appartement de luxe urbain Tour Eiffel,4.35,4.35,0,= Stable,34,34
15,Appartement urbain 15 - Coco Chanel Montorgueil,4.30,4.30,0,= Stable,10,10
17 B,Urban Flat 17 - Sublime appartement de 3 chambres,4.17,4.17,0,= Stable,12,12
17 A,Urban Flat 17 - Joli appartement de 3 chambres,4.60,4.60,0,= Stable,10,10
18 B,Urban Flat 18 - Charmante maison parisienne 2 chambres,X,X,N/A,No data,1,1
19,Urban Flat 19 - Charmant appartement à Montorgueil,3.71,3.71,0,= Stable,7,7
21 A,Urban Flat 21 - Charmant duplex à Montorgueil,4.31,4.36,+0.05,↑ Improved,13,14
21 B,Appartement urbain 21 - Duplex à Montorgueil,3.33,3.33,0,= Stable,3,3
23 A,Urban Flat 23 - Charmant appartement parisien 3 chambres,X,X,N/A,No data,1,1
23 B,UrbanFlat 23 - Appartement Central avec Balcon,5.0,4.8,-0.2,↓ Degraded,4,5
25,Urban Flat 25 - Studio Duplex Marvel Paris centre,4.0,4.0,0,= Stable,6,6
