Ligne,Nom,Note Dec 22,Note Dec 29,Difference,Evolution,Comments Dec 22,Comments Dec 29
1,Urban Flat 01 - Charming 2 bedroom Flat in Montorgueil,7.0,7.1,+0.1,↑ Improved,46,48
2 A,02 - Pretty 4BDR Flat in Paris,8.5,8.5,0,= Stable,17,17
2 B,Urban Flat 02 - 4 Bedrooms Flat in center of Paris,10,10,0,= Stable,1,1
3 A,03 - Urban Formidable in Montorgueil,6.3,6.3,0,= Stable,39,39
3 B,UrbanFlat 03 - 4 Bedroom Apartment in Center of Paris,9.0,9.0,0,= Stable,1,1
4 B,Urban Flat 04 - Pretty 2 Bedroom Flat in Montorgueil,6.3,6.3,0,= Stable,14,14
4 A,04 Best Flat Montorgeuil 3,6.1,6.1,0,= Stable,46,46
5 B,UrbanFlat 05 - Courtyard Apartment in Central Paris,8.0,8.0,0,= Stable,1,1
5 A,05 - Parisian Design Loft,7.7,7.7,0,= Stable,65,64
6,06 - Richer,7.8,7.8,0,= Stable,21,21
7 B,07 Best Flat of Grand Boulevard,5.8,5.8,0,= Stable,43,43
7 A,Urban Flat 07 - Opera Grands Boulevards Flat,6.0,6.0,0,= Stable,5,5
8 A,Urban Flat 08 - The Panoramic Flat in Paris,7.2,7.2,0,= Stable,46,46
9 B,Urban Flat 09 - Stylish Triplex Champs-Elysees,6.5,6.5,0,= Stable,14,14
11 B,Urban Flat 11 - Studio Wagam Pereire,5.4,5.4,0,= Stable,5,5
13 B,Urban Flat 13 - Pretty 2 Bedroom Parisian Flat,7.4,7.4,0,= Stable,23,24
13 A,13 Luxury Flat eiffel design 2,6.9,6.9,0,= Stable,21,21
14 B,Urban Flat 14 - Charming 3 BDR Flat in Paris,7.9,7.9,0,= Stable,6,6
14 A,14 Luxury Flat Eiffel Design 1,6.8,6.8,0,= Stable,15,15
17 A,Urban Flat 17 - Pretty 3 Bedroom Flat in Paris,6.3,6.3,0,= Stable,3,3
17 B,Urban Flat 17 - Pretty 3 BDR Flat in Paris Montorgueil,7.5,7.5,0,= Stable,21,21
18 B,Urban Flat 18 - Charming 2BDR Parisian Home,7.6,7.7,+0.1,↑ Improved,22,24
19,19 Atelier Montorgueil,8.0,7.9,-0.1,↓ Degraded,76,78
21 A,21 Atelier Chaplin Montorgueil,6.8,6.8,0,= Stable,61,61
21 B,Urban Flat 21 - Chaplin Atelier in central Paris,6.5,6.5,0,= Stable,10,10
23 A,23 - Charming 3BDR Parisian Apartment in Montorgueil,7.3,7.3,0,= Stable,40,40
24 B,Urban Flat 24 - Charming Home in Paris,7.3,7.3,0,= Stable,42,42
24 A,24 - Luxury Home in Paris Montorgueil,6.3,6.2,-0.1,↓ Degraded,23,23
25,25 - Fun Duplex in Montorgueil,6.5,6.4,-0.1,↓ Degraded,83,84
31 B,Urban Flat 31 - Lovely Triplex in Paris,5.3,5.3,0,= Stable,3,3
31 A,UrbanFlat 31 - Triplex Loft in Central Paris,7.4,7.4,0,= Stable,7,7
32,32 Atelier Paris Fashion,7.6,7.6,0,= Stable,50,50
33,33 - Flat Av des Champs-Elysees,8.3,8.3,0,= Stable,44,44
34 B,UrbanFlat 34 - Spacious & Bright Paris Home for 11,7.3,7.0,-0.3,↓ Degraded,3,4
34 A,Urban Flat 34 - Beautiful 3 Bedroom Paris Louvre,5.4,5.4,0,= Stable,5,5
35 B,35 - Urban Montmartre,7.2,7.2,0,= Stable,32,32
35 A,Urban Flat 35 - 2 Bedroom Apartment Grands Boulevards,8.3,8.4,+0.1,↑ Improved,9,11
38,38 Atelier Mona Lisa,5.5,5.5,0,= Stable,96,96
40 B,40-Flat Paris Eiffel,7.5,7.5,0,= Stable,48,48
41 B,41-Atelier Star Wars,7.3,7.3,0,= Stable,87,87
42 A,42-LUXURY FLAT,7.1,7.1,0,= Stable,44,44
42 B,Urban Flat 42 - Game of thrones Apartment,6.0,6.0,0,= Stable,3,3
44 A,Urban Flat 44 - Chenier,5.9,5.9,0,= Stable,9,9
44 B,UrbanFlat 44 - Apartment in center of Paris,7.0,7.0,0,= Stable,3,3
52 A,Urban Flat 52 - Charming 2 BDR Flat in Center of Paris,6.3,6.3,0,= Stable,14,14
52 B,52 - Urban Collection Grands Boulevards,6.1,6.1,0,= Stable,49,49
55 B,55-ATELIER MARILYN MONROE,6.7,6.7,0,= Stable,75,75
55 A,UrbanFlat 55 - Triplex Marylin Monroe in a Historic Passage,9.0,9.0,0,= Stable,2,2
57 A,Urban Flat 57 - Luxury 4BDR Parisian Flat in Paris,8.3,8.2,-0.1,↓ Degraded,43,43
57 B,57-LUXURY PARISIEN HOME SEBASTOPOL 1 (2G),6.7,6.7,0,= Stable,13,13
60 B,Urban Flat 60 - Sublime Parisian Flat in Paris,9.6,9.6,0,= Stable,5,5
60 A,60-LUXURY PARISIAN HOME SEBASTOPOL (2DG),6.9,6.8,-0.1,↓ Degraded,32,32
61 B,Urban Flat 61 - Pretty 3 Bedrooms in Center of Paris,6.9,6.9,0,= Stable,22,22
61 A,61- Big Luxury Parisian Flat 2DD,6.5,6.5,0,= Stable,22,22
62 A,62 - Beautiful Apartment Triangle d Or,7.4,7.3,-0.1,↓ Degraded,20,20
62 B,Urban Flat 62 - Beautiful Apartment Mermoz Champs-Elysees,7.5,7.5,0,= Stable,2,2
63 A,Urban Flat 63 - Beautiful 3 Bedroom Flat Champs-Elysees,7.6,7.6,0,= Stable,30,30
63 B,Urban Flat 63 - 3 Bedrooms Flat Champs-Elysees Mermoz,4.0,4.0,0,= Stable,3,3
64 A,64 - Urban Luxury Flat near Champs-Elysees,5.9,5.9,0,= Stable,7,7
64 B,Urban Flat 64 - Luxury flat Mermoz - Champs Elysees,8.0,8.0,0,= Stable,7,7
65,65-FRENCH CANCAN ST DENIS,6.7,6.8,+0.1,↑ Improved,102,103
66 A,Urban Flat 66 - Pretty 3 bedroom in Paris,5.9,5.9,0,= Stable,25,25
66 B,66 - Atelier Fidelite Paris,5.9,5.9,0,= Stable,19,19
67 B,67 - Amazing Parisian Flat,6.4,6.4,0,= Stable,10,10
67 A,Urban Flat 67 - Spacious Flat in Central Paris,7.5,7.5,0,= Stable,2,2
68 B,68 - The Rolling Stones Flat,7.2,7.1,-0.1,↓ Degraded,65,65
69 A,Urban Flat 69 - Beautiful Parisian Apartment,5.8,5.8,0,= Stable,5,5
69 B,69 - Authentic Parisian Home,7.1,7.1,0,= Stable,9,9
70 A,Urban Flat 70 - Authentic 3BDR Parisian Flat,7.5,7.5,0,= Stable,10,10
70 B,70 - Authentic Parisian Flat,6.4,6.4,0,= Stable,6,6
71 A,Urban Flat 71 - Amazing Apartment in Le Marais,8.0,8.0,0,= Stable,5,5
71 B,71 - Amazing Apartment in Le Marais,7.9,7.9,0,= Stable,39,40
72 A,Urban Flat 72 - Pretty 3 Bedroom Flat - Triangle d Or,7.5,7.5,0,= Stable,29,29
72 B,72 - Mermoz Mickey Mouse,5.5,5.5,0,= Stable,4,4
73 A,Urban Flat 73 - Luxury Parisian Flat near Les Halles Rivoli,5.8,5.8,0,= Stable,10,10
73 B,73 - Etienne Marcel,8.1,8.0,-0.1,↓ Degraded,23,24
74 A,Urban Flat 74 - Disneyland in Paris Apartment,7.1,7.1,0,= Stable,32,32
74 B,Urban Flat 74 - Disneyland in Paris Apartment,8.5,8.4,-0.1,↓ Degraded,4,5
75 A,Urban Flat 75 - Sublime 3BDR Flat near Les Jardins du Luxembourg,7.7,7.7,0,= Stable,11,11
75 B,UrbanFlat 75 - Grand Apartment near Jardin du Luxembourg,8.0,8.0,0,= Stable,1,1
76 B,76 - Urban Jardins du Marais,6.7,6.7,0,= Stable,35,35
